case,dir,Mbps,cpu_pct,cores_busy,payload_GBps,vdd_arm,vdd_soc,d_arm,d_soc,model_arm,model_soc
net_idle,idle,0.0,0.0,0.0,0.0,306.4,813.3,0.0,0.0,0.0,0.0
net_tx250,tx,250.0,3.0,0.18,0.0312,341.5,833.8,35.0,20.5,32.4,0.64
net_tx500,tx,500.0,3.9,0.23,0.0625,353.4,874.4,47.0,61.1,43.4,1.27
net_tx900,tx,900.0,5.4,0.32,0.1125,368.2,902.9,61.8,89.7,61.7,2.29
net_rx250,rx,387.7,6.2,0.37,0.0485,376.0,861.5,69.6,48.2,65.9,0.99
net_rx500,rx,500.0,8.1,0.49,0.0625,391.8,886.5,85.4,73.2,86.1,1.27
net_rx900,rx,900.0,12.2,0.73,0.1125,451.6,911.1,145.2,97.8,130.7,2.29
